accuracy,loss,val_accuracy,val_loss
0.30978530645370483,4.08803129196167,0.3757045865058899,3.413447380065918
0.3819105327129364,3.3002989292144775,0.39968252182006836,3.140038251876831
0.40004825592041016,3.0675041675567627,0.4133757948875427,2.9783403873443604
0.4135940670967102,2.910212278366089,0.4245707094669342,2.8776814937591553
0.4234822392463684,2.795073986053467,0.43100079894065857,2.808868885040283
0.4315277934074402,2.7028701305389404,0.4352617859840393,2.7663073539733887
0.4384629726409912,2.6239230632781982,0.44269922375679016,2.7328367233276367
0.4449487030506134,2.5552964210510254,0.44434553384780884,2.714803457260132
0.4501827657222748,2.493936538696289,0.4470959007740021,2.696629047393799
0.45585307478904724,2.4388294219970703,0.4483547806739807,2.686474323272705
0.4611878991127014,2.3864314556121826,0.4528093934059143,2.676321268081665
0.46595194935798645,2.338996171951294,0.4528288245201111,2.6773509979248047
0.4707969129085541,2.2975735664367676,0.45430079102516174,2.674898862838745
0.4759388566017151,2.2545435428619385,0.45608270168304443,2.6809279918670654
0.48061004281044006,2.2180092334747314,0.4575934112071991,2.6797878742218018
0.48545753955841064,2.179426431655884,0.4572448432445526,2.6875576972961426
0.48944395780563354,2.1466848850250244,0.4575159251689911,2.691110134124756
0.49380576610565186,2.1136443614959717,0.4574771821498871,2.6990532875061035
