epoch,accuracy,loss,val_accuracy,val_loss
1,0.33029839396476746,3.9075517654418945,0.39790043234825134,3.1794273853302
2,0.40281257033348083,3.0803537368774414,0.4234473407268524,2.907909631729126
3,0.4207592308521271,2.858931303024292,0.4332088828086853,2.7965006828308105
4,0.4323268532752991,2.720473051071167,0.4410916864871979,2.73494029045105
5,0.4407951235771179,2.617636203765869,0.44616615772247314,2.6958820819854736
6,0.4478311538696289,2.5367965698242188,0.44955554604530334,2.6741538047790527
7,0.45482000708580017,2.4639432430267334,0.4510662853717804,2.6583268642425537
8,0.4613468050956726,2.40103816986084,0.4540102779865265,2.652759313583374
9,0.4679856300354004,2.3437886238098145,0.45422327518463135,2.6508560180664062
10,0.47405698895454407,2.2917611598968506,0.4557727575302124,2.6471140384674072
11,0.4799380302429199,2.2437617778778076,0.45441702008247375,2.658010959625244
12,0.4856659471988678,2.2032077312469482,0.4534485936164856,2.6613991260528564
13,0.49121537804603577,2.1589877605438232,0.45493990182876587,2.666306495666504
14,0.49544864892959595,2.1240694522857666,0.45451390743255615,2.672431468963623
15,0.5016816854476929,2.088801860809326,0.45453327894210815,2.6816065311431885
